"","logFC","logCPM","F","PValue"
"ENSG00000000419",0.123808590022217,3.01900672826796,0.0383785834489726,0.846624980255725
"ENSG00000000457",-0.125928914848781,6.24907482351974,0.0791033275817598,0.781351894632105
"ENSG00000000460",0.0519464934599091,6.75792436890391,0.0218311071884451,0.883989266787239
"ENSG00000001036",1.13875308429321,4.38190734682942,3.24686747660802,0.0863722920249995
"ENSG00000001460",0.690874915959259,6.38885207587997,1.37025911322303,0.255273178569979
"ENSG00000001497",0.790903807120509,2.92930505710469,0.911373818438474,0.350937100625655
"ENSG00000001626",-0.349773907745325,5.30357192714863,0.369643647484052,0.549914312473007
"ENSG00000001631",-0.0857637148840179,5.17242786488722,0.0348945319724014,0.853663800237028
"ENSG00000002016",-0.348505011855362,4.70445315321196,0.179579178519852,0.676174050113305
"ENSG00000002079",0.176774187742433,3.68320700114012,0.0488105281327503,0.827344428336342
"ENSG00000002330",-0.29880219297646,3.42998853765614,0.249896470198735,0.622502354606832
"ENSG00000002587",-1.07296237662735,4.00360366390639,1.50391611064722,0.234050363269893
"ENSG00000002726",-2.58654211060129,2.41956216415576,3.06377503077864,0.0967292721210403
"ENSG00000002746",-0.278780985400573,3.15558182799805,0.0935348336527716,0.762832558282044
"ENSG00000002933",-0.903984809664038,2.86975981139868,0.856153523712549,0.365644472855722
"ENSG00000003056",-0.238880529495282,7.73890354294269,0.381987892330048,0.543386773398324
"ENSG00000003147",-0.38555429986036,3.24011164175888,0.173414746764702,0.681447501620534
"ENSG00000003249",-0.771160074069953,4.0583920703522,3.5296448765221,0.0746603509163536
"ENSG00000003402",-0.04597681737216,3.47642493560909,0.00558742616215141,0.941143182319587
"ENSG00000003436",0.0730513049139259,3.60534950229356,0.00184196761387418,0.966184477554092
"ENSG00000003509",0.204989706318975,6.77751440639256,0.169701334479918,0.684677796197553
"ENSG00000003987",0.421534298620606,7.80896022784749,0.846357316884107,0.368346185686197
"ENSG00000004139",0.215692901560188,8.81452103842054,0.170034185014872,0.684386561579394
"ENSG00000004142",-0.147900183939272,6.45910203432138,0.140013428797262,0.712132333344138
"ENSG00000004478",0.0636532886334643,5.44413518097638,0.0116870869232917,0.914968170965201
"ENSG00000004487",0.0774778735005629,6.5713972103031,0.0405201654962486,0.842462398286428
"ENSG00000004700",0.608904212093154,6.61741018263079,1.47171647658172,0.238948733459904
"ENSG00000004776",-1.82735312871922,3.0811229061873,2.96577944401407,0.100186564252493
"ENSG00000004777",-2.22795040044623,3.34548805683132,4.86372244366432,0.0403840033547408
"ENSG00000004864",1.53921058010105,3.20879497016011,1.52783480877956,0.230494706365569
"ENSG00000004866",-0.237739065080862,3.19257647175332,0.0739503431399206,0.788405344769432
"ENSG00000005007",-0.197846335929192,3.38719708979374,0.0651992246851198,0.801018571149278
"ENSG00000005059",0.777400980108548,3.97902076633729,1.24249997354041,0.27796218240978
"ENSG00000005075",0.498390088376267,4.05572075166718,0.790547998038863,0.384309013874289
"ENSG00000005108",0.641733709922787,3.6576252998799,0.337249876738248,0.567787671985567
"ENSG00000005156",0.919860777195322,7.73495056511332,1.84779873183043,0.188891573558982
"ENSG00000005187",0.82539335419509,5.77499714277005,3.74845071968393,0.0668486959947023
"ENSG00000005189",0.732515346958213,3.55708043072579,1.61408092079223,0.218231191970861
"ENSG00000005339",-0.195347425859842,3.91256877198586,0.151422016889614,0.701216010192422
"ENSG00000005379",0.219809076874092,3.68658822747567,0.0644331532534456,0.802164803474864
"ENSG00000005421",-0.11261418713317,3.74235373892969,0.036671849100528,0.850029670973194
"ENSG00000005436",0.261843496283916,8.4334173938332,0.343861280713716,0.56404783152583
"ENSG00000005448",-0.149713200533063,5.82927089759326,0.0508684475436482,0.82380518157202
"ENSG00000005471",1.11913779561236,2.94097311512893,1.31252368575079,0.265212959780312
"ENSG00000005483",0.341380118795051,8.92173868419285,0.546151956502454,0.468320790496404
"ENSG00000005513",0.113136057752705,3.83117411498173,0.0156722320691053,0.90160072399299
"ENSG00000005810",0.735654443252013,4.18810494401938,1.53948447687149,0.228787890598456
"ENSG00000005812",0.375133867410376,8.67891460818633,0.991127374039145,0.331140814065765
"ENSG00000005844",-0.294975640718072,3.14326147667978,0.0443824358711813,0.83523573955406
"ENSG00000005882",-0.150111559072261,7.03344154869502,0.0804888555043145,0.7794980575518
"ENSG00000005884",-1.83076602065156,2.83612772813769,3.64717115810978,0.0703410062916718
"ENSG00000006015",-1.7333367923817,3.70356096820234,3.73590190476245,0.0672703789230603
"ENSG00000006016",-0.333270160995569,5.63508130789936,0.762540312066622,0.392707455290374
"ENSG00000006062",0.633243628754427,2.9958242731338,0.443202440786281,0.513045769098157
"ENSG00000006118",0.504312755659366,4.87625054359403,0.980769093324117,0.333621726680375
"ENSG00000006125",-0.0559357230143612,5.24746654500819,0.0123384801679529,0.912640557243213
"ENSG00000006194",0.0472553711607619,7.98351695790989,0.0192212937681287,0.891094682674508
"ENSG00000006432",0.866233112590318,2.5765408713361,0.344831517006289,0.563503106368462
"ENSG00000006453",-0.290566533043169,5.2758978388465,0.338176936376783,0.567260299649269
"ENSG00000006468",-0.5433694357434,2.74995036370996,0.0911561590866301,0.765771783006561
"ENSG00000006530",-0.1686200757457,6.94124154100507,0.0700486773317567,0.793924079152266
"ENSG00000006534",0.146476566348044,3.00808610212451,0.0207561047686854,0.886860422349474
"ENSG00000006607",-0.424717604065829,5.88656143366718,0.9175060547609,0.349356382639198
"ENSG00000006634",-0.099813319033283,4.43540474975327,0.0366966604877433,0.849979592977944
"ENSG00000006652",-0.337001757180904,3.12687075583762,0.267443862888222,0.610618838736511
"ENSG00000006712",0.222780213953667,5.99036274229025,0.288173612841546,0.59720538636552
